Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release,LA_GA_Ratio,Normalized_MW,Drug_Polymer_MW_Ratio
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,63.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.575940104191033,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,67.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.586917200187776,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,70.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.594890553431055,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,75.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.607943501039308,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,77.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.612502386839269,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,81.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.624593399568846,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,84.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.632329646588524,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,87.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.642940667554457,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,91.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.651051206001651,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,95.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.664745199521173,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,98.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.67550215741045,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,102.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.689413309013494,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,105.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.696672021153234,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,109.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.711793396177679,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,112.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.720757240332554,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,116.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.734488549078582,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,119.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.743744538697232,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,0.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.0,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,0.0416666666666667,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.0165302508622004,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,0.125,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.0347160041641145,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,0.291666666666667,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.0489977966773212,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,1.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.0818866353548972,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,2.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.112207274880347,0.0,10.373522431293592,0.02668493749999999
138,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,1.666666666666667,0.2911665866538645,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,3.0,0.04741588897729879,0.07404666127471807,0.08165760120003601,0.140947783061004,0.0,10.373522431293592,0.02668493749999999
